discord_uuid,discord_name,riot_id,tracker,pr,team
321821042194513920,mrrainbow56,mrrainbow56#nice,https://tracker.gg/valorant/profile/riot/mrrainbow56%23nice/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,ATOR White
323763965870080000,capitulation,Capitulation#Tubby,https://tracker.gg/valorant/profile/riot/Capitulation%23Tubby/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Lineup Larries
786425929291399198,chisooo,chiso#uwu,https://tracker.gg/valorant/profile/riot/chiso%23uwu/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,Lineup Larries
479725000333459456,bjyornk,OldAsianGrandpa#ASIAN,https://tracker.gg/valorant/profile/riot/OldAsianGrandpa%23ASIAN/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,Lineup Larries
116697792818184192,maiadorable,Whelmed#UwU,https://tracker.gg/valorant/profile/riot/Whelmed%23UwU/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Lineup Larries
248786790423461888,chewang,Chewang#MATT,https://tracker.gg/valorant/profile/riot/Chewang%23MATT/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Lineup Larries
468200144513269761,cruising.,Awezs#ttv,https://tracker.gg/valorant/profile/riot/Awezs%23ttv/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,RISING GHOULS
596035727234564142,damonky6197,drgn#0000,https://tracker.gg/valorant/profile/riot/DRGN%230000/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,RISING GHOULS
1050915351250088056,osumari,osumari#1of1,https://tracker.gg/valorant/profile/riot/osumari%231of1/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d,3,RISING GHOULS
772228590535966742,pace1404,Yor#2520,https://tracker.gg/valorant/profile/riot/Yor%232520/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,RISING GHOULS
795420575886606356,chickin890,FLUX#Zoom,https://tracker.gg/valorant/profile/riot/FLUX%23Zoom/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,RISING GHOULS
282624809718775810,dumbbacon,dumbbacon#bac0n,https://tracker.gg/valorant/profile/riot/dumbbacon%23bac0n/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Looking For Time
